fiscalDateEnding,totalAssets,totalCurrentLiabilities,totalShareholderEquity,totalLiabilities,inventory,totalCurrentAssets,reportedCurrency,netIncome,totalRevenue,ebit,costofGoodsAndServicesSold,operatingExpenses,interestExpense,ebitda,changeInInventory,operatingCashflow,companyName
2009-12-31,13813000000.0,7364000000.0,5257000000.0,8556000000.0,2171000000.0,9797000000.0,USD,902000000,24479000000.0,1189000000,18978000000.0,4402000000,34000000.0,1567000000.0,531000000.0,3293000000,AMZN
2020-07-25,94853000000.0,25331000000.0,37920000000.0,56933000000.0,1282000000.0,43573000000.0,USD,11214000000,48991000000.0,14555000000,17618000000.0,18063000000,585000000.0,14696000000.0,-84000000.0,15426000000,CSCO
2019-07-27,97793000000.0,31712000000.0,33571000000.0,64222000000.0,1383000000.0,47755000000.0,USD,11621000000,51037000000.0,15430000000,19238000000.0,18447000000,859000000.0,15580000000.0,-131000000.0,15831000000,CSCO
2016-07-30,121652000000.0,24911000000.0,63586000000.0,58067000000.0,1217000000.0,78719000000.0,USD,10739000000,49247000000.0,13596000000,18287000000.0,18300000000,676000000.0,13899000000.0,-315000000.0,13570000000,CSCO
2013-07-27,101191000000.0,21996000000.0,59120000000.0,42063000000.0,1476000000.0,65521000000.0,USD,9983000000,48607000000.0,11810000000,19167000000.0,18244000000,583000000.0,12205000000.0,-218000000.0,12894000000,CSCO
2012-07-28,91759000000.0,17731000000.0,51286000000.0,40458000000.0,1663000000.0,61933000000.0,USD,8041000000,46061000000.0,10755000000,17852000000.0,18144000000,596000000.0,11138000000.0,287000000.0,11491000000,CSCO
2021-12-31,4975269000.0,1308801000.0,1897133000.0,3078136000.0,103743000.0,1921641000.0,USD,369448000,4022211000.0,508999000,2590252000.0,943291000,2538000.0,559664000.0,-535634500.0,694281000,GENPACT
2020-12-31,4873513000.0,1202636000.0,1834229000.0,3039284000.0,150089000.0,1748868000.0,USD,308276000,3709377000.0,438717000,2418137000.0,894662000,2454000.0,458757000.0,-535634500.0,584308000,GENPACT
2019-12-31,4454184000.0,910211000.0,1689171000.0,2765013000.0,121172000.0,1551676000.0,USD,304881000,3520543000.0,429376000,2294688000.0,824741000,2997000.0,444328000.0,-535634500.0,427888000,GENPACT
2016-12-31,2885880000.0,731355000.0,1286648000.0,1594712000.0,172506000.0,1227037000.0,USD,269684000,2570756000.0,341206000,1554707000.0,693475000,1531000.0,360496000.0,-529853000.0,345772000,GENPACT
2015-12-31,2793489000.0,594480000.0,1304356000.0,1489133000.0,134148000.0,1195069000.0,USD,239817000,2461044000.0,334192000,1493547000.0,649790000,13546000.0,343813000.0,-544828000.0,549526000,GENPACT
2014-12-31,2742537000.0,622114000.0,1285136000.0,1457401000.0,187637000.0,1188508000.0,USD,192002000,2279438000.0,294031000,1378088000.0,617296000,3240000.0,281204000.0,-572643000.0,271838000,GENPACT
2012-12-31,2605927000.0,517818000.0,1168411000.0,1434146000.0,208264000.0,1128767000.0,USD,178216000,1901971000.0,264345000,1157766000.0,522330000,8079000.0,296098000.0,-550665000.0,310660000,GENPACT
