Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Reported Currency,Exchange Name,Trade Price
"January 01, 2024",MALUPAPER,Malu Paper Mills Limited,*****************MITED,0,"1,00,000",USD,NSE,0.53
"January 01, 2024",MAXIND,Max India Limited,***********************AL LLP,0,"3,11,391",USD,NSE,2.2
"January 01, 2024",MAXIND,Max India Limited,***********************AL LLP,1,"3,11,391",USD,NSE,2.2
"January 01, 2024",MKPL,M K Proteins Limited,******************T LTD,0,"7,85,653",USD,NSE,0.82
"January 01, 2024",MKPL,M K Proteins Limited,******************T LTD,1,"7,16,654",USD,NSE,0.82
"January 01, 2024",MKPL,M K Proteins Limited,******************MITED,0,"4,095",USD,NSE,0.81
"January 01, 2024",MKPL,M K Proteins Limited,******************MITED,1,"7,08,420",USD,NSE,0.85
"January 01, 2024",MTNL,Maha Tel Nigam Ltd.,****************ITED,0,"16,39,794",USD,NSE,0.41
"January 01, 2024",MTNL,Maha Tel Nigam Ltd.,****************ITED,1,"15,63,219",USD,NSE,0.41
"January 01, 2024",NFL,National Fertilizers Limi,***********************AL LLP,0,"49,96,233",USD,NSE,1.17
"January 01, 2024",NFL,National Fertilizers Limi,***********************AL LLP,1,"49,96,233",USD,NSE,1.17
"January 01, 2024",NFL,National Fertilizers Limi,****************ITED,0,"36,61,814",USD,NSE,1.18
"January 01, 2024",NFL,National Fertilizers Limi,****************ITED,1,"35,63,341",USD,NSE,1.18
"January 01, 2024",OLECTRA,Olectra Greentech Limited,***********************AL LLP,0,"5,63,455",USD,NSE,16.8
"January 01, 2024",OLECTRA,Olectra Greentech Limited,***********************AL LLP,1,"5,63,455",USD,NSE,16.82
"January 01, 2024",ONDOOR,On Door Concepts Limited,********ERS,0,"1,02,600",USD,NSE,2.29
"January 01, 2024",ONDOOR,On Door Concepts Limited,********ERS,1,600,USD,NSE,2.4
"January 01, 2024",ONDOOR,On Door Concepts Limited,******************************** LIMITED,0,"53,400",USD,NSE,2.41
"January 01, 2024",ONDOOR,On Door Concepts Limited,******************************** LIMITED,1,"5,400",USD,NSE,2.52
"January 01, 2024",ONDOOR,On Door Concepts Limited,**************************** LIMITED,0,"1,02,000",USD,NSE,2.43
"January 01, 2024",ONDOOR,On Door Concepts Limited,****************SHAH,0,"90,000",USD,NSE,2.29
"January 01, 2024",ONDOOR,On Door Concepts Limited,**************************** LIMITED,0,"54,000",USD,NSE,2.28
"January 01, 2024",ONDOOR,On Door Concepts Limited,*************VYAS,0,"33,000",USD,NSE,2.66
"January 01, 2024",ONDOOR,On Door Concepts Limited,*************VYAS,1,"24,000",USD,NSE,2.41
"January 01, 2024",ONDOOR,On Door Concepts Limited,******************************* LIMITED,1,"5,00,400",USD,NSE,2.3
"January 01, 2024",ONDOOR,On Door Concepts Limited,***********************NGHAVI,0,"54,000",USD,NSE,2.28
"January 01, 2024",ONDOOR,On Door Concepts Limited,************************************LIMITED  .,0,"28,800",USD,NSE,2.87
"January 01, 2024",PLADAINFO,Plada Infotech Services L,****************************IMITED .,0,"48,000",USD,NSE,0.52
"January 01, 2024",PLADAINFO,Plada Infotech Services L,****************************IMITED .,1,"27,000",USD,NSE,0.52
"January 01, 2024",PRAKASHSTL,Prakash Steelage Ltd,**************************** PVT LTD,0,"14,78,667",USD,NSE,0.12
"January 01, 2024",PRAKASHSTL,Prakash Steelage Ltd,**************************** PVT LTD,1,"13,47,376",USD,NSE,0.12
"January 01, 2024",PRAKASHSTL,Prakash Steelage Ltd,****************************** PVT LTD,0,21,USD,NSE,0.12
"January 01, 2024",PRAKASHSTL,Prakash Steelage Ltd,****************************** PVT LTD,1,"13,00,060",USD,NSE,0.12
"January 01, 2024",RAILTEL,Railtel Corp of Ind Ltd,***********************AL LLP,0,"31,16,733",USD,NSE,4.32
"January 01, 2024",RAILTEL,Railtel Corp of Ind Ltd,***********************AL LLP,1,"31,16,733",USD,NSE,4.32
"January 01, 2024",RAJMET,Rajnandini Metal Limited,**************************************TE LIMITED,0,"16,65,807",USD,NSE,0.14
"January 01, 2024",RAJMET,Rajnandini Metal Limited,**************************************TE LIMITED,1,"16,82,707",USD,NSE,0.14
"January 01, 2024",RAJMET,Rajnandini Metal Limited,***************HARY,1,"49,71,000",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,********************MEHTA,0,"20,00,000",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,************* LLP,0,"15,83,692",USD,NSE,0.14
"January 01, 2024",RAJMET,Rajnandini Metal Limited,************* LLP,1,"15,83,692",USD,NSE,0.14
"January 01, 2024",RAJMET,Rajnandini Metal Limited,**************HARY,1,"17,37,000",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,******************T LTD,0,"22,30,746",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,******************T LTD,1,"22,30,746",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,*************ARES,0,"15,54,114",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,*************ARES,1,"15,54,114",USD,NSE,0.15
"January 01, 2024",RAJMET,Rajnandini Metal Limited,******************S LLP,0,"25,00,000",USD,NSE,0.15
"January 01, 2024",RAJSREESUG,Rajshree Sugars & Chem,***********DLA,0,"1,89,449",USD,NSE,0.79
"January 01, 2024",RAJSREESUG,Rajshree Sugars & Chem,******************T LTD,0,"1,33,515",USD,NSE,0.81
"January 01, 2024",RAJSREESUG,Rajshree Sugars & Chem,******************T LTD,1,"2,34,276",USD,NSE,0.81
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,************************IMITED,0,"3,45,000",USD,NSE,1.37
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,************************IMITED,1,"3,45,000",USD,NSE,1.37
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,****************ITED,0,"2,45,488",USD,NSE,1.37
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,****************ITED,1,"2,25,532",USD,NSE,1.37
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,*************** LTD,0,"1,66,506",USD,NSE,1.37
"January 01, 2024",RATNAVEER,Ratnaveer Precision Eng L,*************** LTD,1,"2,77,243",USD,NSE,1.37
"January 01, 2024",RCF,Rashtriya Chem Fert Ltd.,***********************AL LLP,0,"30,44,135",USD,NSE,2
"January 01, 2024",RCF,Rashtriya Chem Fert Ltd.,***********************AL LLP,1,"30,44,135",USD,NSE,2
"January 01, 2024",RIIL,Reliance Indl Infra Ltd,***********************AL LLP,0,"2,48,378",USD,NSE,16.97
"January 01, 2024",RIIL,Reliance Indl Infra Ltd,***********************AL LLP,1,"2,48,378",USD,NSE,16.97
"January 01, 2024",RPOWER,Reliance Power Limited,****************ITED,0,"2,03,65,951",USD,NSE,0.29
"January 01, 2024",RPOWER,Reliance Power Limited,****************ITED,1,"1,97,55,348",USD,NSE,0.29
"January 01, 2024",SAGARDEEP,Sagardeep Alloys Limited,*********MPY,0,"2,59,651",USD,NSE,0.35
"January 01, 2024",SAGARDEEP,Sagardeep Alloys Limited,*********MPY,1,"2,59,651",USD,NSE,0.35
"January 01, 2024",SAGCEM,Sagar Cements Ltd,**************** LTD,0,"19,50,031",USD,NSE,3.42
"January 01, 2024",SAGCEM,Sagar Cements Ltd,**************** LTD,1,"18,91,792",USD,NSE,3.42
"January 01, 2024",SAGCEM,Sagar Cements Ltd,***********************AL LLP,0,"10,75,659",USD,NSE,3.39
"January 01, 2024",SAGCEM,Sagar Cements Ltd,***********************AL LLP,1,"10,75,659",USD,NSE,3.39
"January 01, 2024",SAIFL,Sameera Agro And Infra L,************************LIMITED,1,"88,800",USD,NSE,2.05
"January 01, 2024",SAIFL,Sameera Agro And Infra L,******************AKKAR,0,"2,82,400",USD,NSE,2.14
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,*******************USINH,0,"5,78,701",USD,NSE,0.4
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,*******************USINH,1,"6,11,883",USD,NSE,0.4
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,****************************** LIMITED,0,"1,21,889",USD,NSE,0.4
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,****************************** LIMITED,1,"1,24,713",USD,NSE,0.4
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,************************************LIMITED  .,0,"1,50,000",USD,NSE,0.41
"January 01, 2024",SANGINITA,Sanginita Chemicals Limit,************************************LIMITED  .,1,"1,00,000",USD,NSE,0.4
"January 01, 2024",SARVESHWAR,Sarveshwar Foods Limited,*******************MITED,1,"55,00,000",USD,NSE,0.07
"January 01, 2024",SONUINFRA,Sonu Infratech Limited,************************************** STAR FUND,1,"48,000",USD,NSE,0.75
"January 01, 2024",TECHLABS,Trident Techlabs Limited,***************************************TE LIMITED,1,"1,52,000",USD,NSE,1.24
"January 01, 2024",TFCILTD,Tourism Finance Corp,***********************AL LLP,0,"5,86,743",USD,NSE,1.59
"January 01, 2024",TFCILTD,Tourism Finance Corp,***********************AL LLP,1,"5,86,743",USD,NSE,1.59
"January 01, 2024",TFCILTD,Tourism Finance Corp,*****************MITED,0,"10,87,237",USD,NSE,1.61
"January 01, 2024",TFCILTD,Tourism Finance Corp,*****************MITED,1,"74,959",USD,NSE,1.61
"January 01, 2024",WINDLAS,Windlas Biotech Limited,***********************AL LLP,0,"1,85,662",USD,NSE,5.7
"January 01, 2024",WINDLAS,Windlas Biotech Limited,***********************AL LLP,1,"1,85,662",USD,NSE,5.71
"January 01, 2024",WOCKPHARMA,Wockhardt Ltd.,***********************AL LLP,0,"8,44,583",USD,NSE,5.48
"January 01, 2024",WOCKPHARMA,Wockhardt Ltd.,***********************AL LLP,1,"8,44,583",USD,NSE,5.48
"January 01, 2024",ZUARI,Zuari Agro Chemicals Ltd,***********************AL LLP,0,"2,55,402",USD,NSE,2.37
"January 01, 2024",ZUARI,Zuari Agro Chemicals Ltd,***********************AL LLP,1,"2,55,402",USD,NSE,2.38
"January 02, 2024",3IINFOLTD,3i Infotech Limited,***********************AL LLP,0,"26,96,388",USD,NSE,0.68
"January 02, 2024",3IINFOLTD,3i Infotech Limited,***********************AL LLP,1,"26,96,388",USD,NSE,0.68
"January 02, 2024",3IINFOLTD,3i Infotech Limited,****************ITED,0,"14,70,376",USD,NSE,0.68
"January 02, 2024",3IINFOLTD,3i Infotech Limited,****************ITED,1,"16,43,559",USD,NSE,0.68
"January 02, 2024",AAATECH,AAA Technologies Limited,**************************************TE LIMITED,0,"69,076",USD,NSE,1.1
"January 02, 2024",AAATECH,AAA Technologies Limited,**************************************TE LIMITED,1,"10,265",USD,NSE,1.08
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,************AIN,0,"1,50,000",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,************AIN,1,"1,50,000",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,***********HUF,0,"1,17,032",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,***********HUF,1,"1,17,032",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,*******************USINH,0,"2,58,561",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,*******************USINH,1,"3,82,254",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************URES,0,"1,16,564",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************URES,1,"1,16,564",USD,NSE,0.6
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************************** PVT LTD,0,"1,29,541",USD,NSE,0.61
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************************** PVT LTD,1,"93,695",USD,NSE,0.61
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************************** LIMITED,0,"2,07,962",USD,NSE,0.59
"January 02, 2024",AKASH,Akash Infra-Projects Ltd,****************************** LIMITED,1,"2,09,850",USD,NSE,0.59
"January 02, 2024",AKSHAR,Akshar Spintex Limited,***************************************TE LIMITED,1,"30,00,000",USD,NSE,0.05
"January 02, 2024",AKSHAR,Akshar Spintex Limited,***************INGH,0,"13,50,000",USD,NSE,0.05
"January 02, 2024",ALLCARGO,Allcargo Logistics Ltd,***********************AL LLP,0,"19,56,552",USD,NSE,1.1
"January 02, 2024",ALLCARGO,Allcargo Logistics Ltd,***********************AL LLP,1,"19,56,552",USD,NSE,1.1
"January 02, 2024",ANMOL,Anmol India Limited,*************** LTD,0,"3,12,221",USD,NSE,0.74
"January 02, 2024",ANMOL,Anmol India Limited,*************** LTD,1,"2,89,775",USD,NSE,0.75
"January 02, 2024",BEPL,Bhansali Eng. Polymers Lt,***********************AL LLP,0,"14,43,632",USD,NSE,1.33
"January 02, 2024",BEPL,Bhansali Eng. Polymers Lt,***********************AL LLP,1,"14,43,632",USD,NSE,1.33
"January 02, 2024",DCW,DCW Ltd,***********************AL LLP,0,"14,82,871",USD,NSE,0.7
"January 02, 2024",DCW,DCW Ltd,***********************AL LLP,1,"14,82,871",USD,NSE,0.7
"January 02, 2024",DELTACORP,Delta Corp Limited,***********************AL LLP,0,"22,20,108",USD,NSE,1.87
"January 02, 2024",DELTACORP,Delta Corp Limited,***********************AL LLP,1,"22,20,108",USD,NSE,1.88
"January 02, 2024",DELTACORP,Delta Corp Limited,****************ITED,0,"15,63,869",USD,NSE,1.87
"January 02, 2024",DELTACORP,Delta Corp Limited,****************ITED,1,"15,39,027",USD,NSE,1.87
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,************AIN,0,"64,000",USD,NSE,1.35
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,************AIN,1,"64,000",USD,NSE,1.36
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,***********HUF,0,"70,508",USD,NSE,1.35
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,***********HUF,1,"66,508",USD,NSE,1.36
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,****************URES,0,"85,000",USD,NSE,1.36
"January 02, 2024",DELTAMAGNT,Delta Manufacturing Ltd,****************URES,1,"75,000",USD,NSE,1.36
"January 02, 2024",EFORCE,Electro Force (India) Ltd,****************************** PVT LTD,0,"1,21,200",USD,NSE,1.53
"January 02, 2024",EFORCE,Electro Force (India) Ltd,***************BORA,1,"1,45,200",USD,NSE,1.53
"January 02, 2024",ENGINERSIN,Engineers India Ltd.,***********************AL LLP,0,"60,81,216",USD,NSE,2.31
"January 02, 2024",ENGINERSIN,Engineers India Ltd.,***********************AL LLP,1,"60,81,216",USD,NSE,2.32
"January 02, 2024",ESSENTIA,Integra Essentia Limited,*****NI,0,"25,97,433",USD,NSE,0.1
"January 02, 2024",ESSENTIA,Integra Essentia Limited,*****NI,1,"29,05,348",USD,NSE,0.1
"January 02, 2024",ESSENTIA,Integra Essentia Limited,************************IMITED,0,"18,50,134",USD,NSE,0.1
"January 02, 2024",ESSENTIA,Integra Essentia Limited,************************IMITED,1,"29,06,574",USD,NSE,0.1
"January 02, 2024",FAIRCHEMOR,Fairchem Organics Limited,********************NUWAL,0,"79,625",USD,NSE,15.87
"January 02, 2024",FAIRCHEMOR,Fairchem Organics Limited,********************NUWAL,1,"5,000",USD,NSE,15.39
"January 02, 2024",FELIX,Felix Industries Ltd.,********************** SHETH,0,"37,000",USD,NSE,3.09
